date,open,high,low,close,volume,amount
2019-11-26,3893.4340,3899.1090,3869.5940,3891.6530,11151353600,140213633024.0000
2019-11-27,3883.4290,3889.9780,3862.7010,3875.6180,7643730432,107238821888.0000
2019-11-28,3877.9010,3887.6900,3852.0100,3862.3020,6523011840,87081787392.0000
2019-11-29,3857.1880,3861.6580,3804.8290,3828.6700,7414433024,116200558592.0000
2019-12-02,3835.5120,3854.7500,3829.3120,3836.0580,7741217280,109992591360.0000
2019-12-03,3829.2120,3851.1200,3811.6280,3851.0870,7361124096,108703715328.0000
2019-12-04,3841.6620,3852.9920,3831.0740,3849.8190,7968338432,109646344192.0000
2019-12-05,3863.6080,3883.4030,3859.8220,3879.3630,8905119232,129357594624.0000
2019-12-06,3885.0580,3902.3850,3878.7000,3902.3850,7864888832,116424777728.0000
2019-12-09,3909.5290,3911.9680,3885.2500,3895.4460,9535380736,130873098240.0000
2019-12-10,3886.4440,3900.9590,3882.0870,3900.3840,8626292736,121118412800.0000
2019-12-11,3907.1590,3909.3850,3890.3410,3902.7490,9976548096,127690403840.0000
2019-12-12,3908.4530,3908.4530,3886.1180,3891.0240,8470832896,117874315264.0000
2019-12-13,3928.0040,3969.4560,3925.2750,3968.2210,14857134848,201018884096.0000
2019-12-16,3970.7090,3987.5860,3953.5120,3987.5460,14848667136,202154897408.0000
2019-12-17,3987.7420,4067.1350,3984.5190,4041.7990,20116293632,251637866496.0000
2019-12-18,4039.7240,4057.6400,4025.3430,4032.7820,15135176448,197620207616.0000
2019-12-19,4034.6150,4038.5430,4014.8950,4027.1490,11790055936,152553807872.0000
2019-12-20,4032.1510,4046.7260,4014.9290,4017.2520,12126766336,158460231680.0000
2019-12-23,4014.6920,4032.1720,3964.3790,3967.0960,12281624576,162048262144.0000
2019-12-24,3971.5600,3994.5090,3963.6650,3992.9580,9598904576,122499162112.0000
2019-12-25,3988.6570,4000.5550,3976.3550,3990.8670,9493889024,131896467456.0000
2019-12-26,3993.6680,4025.9870,3993.5410,4025.9870,10886064128,140814966784.0000
2019-12-27,4029.2450,4066.7960,4019.7220,4022.0270,15092641024,195090415616.0000
2019-12-30,4015.5190,4083.6900,4001.4950,4081.6330,15597148928,216814661632.0000
2019-12-31,4077.7510,4098.1440,4069.0080,4096.5820,12326425856,173119348736.0000
2020-01-02,4121.3480,4172.6550,4121.3480,4152.2400,18211677184,270105530368.0000
2020-01-03,4161.2180,4164.2980,4131.8640,4144.9640,14282624512,215216287744.0000
2020-01-06,4120.5210,4170.6380,4102.3790,4129.2950,17530995200,250182070272.0000
2020-01-07,4137.4010,4161.2500,4135.0970,4160.2270,13948903168,196389060608.0000
2020-01-08,4139.6310,4149.8130,4101.9800,4112.3170,16758585088,212406263808.0000
2020-01-09,4145.5340,4165.6570,4143.5920,4164.3690,13688632320,200150351872.0000
2020-01-10,4177.5770,4180.9770,4148.4810,4163.1840,11303171840,177827414016.0000
2020-01-13,4166.9250,4203.9880,4148.6000,4203.9880,11969198336,199795490816.0000
2020-01-14,4215.1570,4223.5070,4188.0800,4189.8860,12932078336,196221263872.0000
2020-01-15,4186.8810,4193.8680,4150.8790,4166.7340,10463313664,163081932800.0000
2020-01-16,4174.8170,4175.2930,4142.1790,4149.0430,10026764288,156242505728.0000
2020-01-17,4162.1930,4177.0280,4141.6440,4154.8530,9872568320,166591590400.0000
2020-01-20,4170.7360,4185.9620,4149.4870,4185.8300,12240914688,202692288512.0000
2020-01-21,4165.0200,4165.0200,4113.3250,4114.3080,13052750592,204586881024.0000
2020-01-22,4093.8000,4141.1770,4046.4860,4131.9310,12675876352,208136151040.0000
2020-01-23,4093.3220,4103.5240,3972.3930,4003.9010,16035760384,250409357312.0000
2020-02-03,3639.9080,3732.1570,3639.9080,3688.3570,15755964672,243303104512.0000
2020-02-04,3652.0030,3786.8620,3652.0030,3785.6370,21393332736,298165768192.0000
2020-02-05,3801.0990,3866.0100,3781.6130,3828.5270,17492552448,264042921984.0000
2020-02-06,3841.7530,3914.9150,3806.9600,3899.7750,17646223616,262820089856.0000
2020-02-07,3879.5530,3899.8830,3849.7120,3899.8690,15173175808,237508816896.0000
2020-02-10,3872.3730,3920.1660,3861.0060,3916.0050,14840696832,229625442304.0000
2020-02-11,3926.4200,3970.5220,3915.7070,3952.4640,14344167424,219307118592.0000
2020-02-12,3945.6660,3984.4320,3940.6660,3984.4320,12671032064,200776708096.0000
2020-02-13,3985.8750,3999.5490,3950.1420,3959.9180,14500184320,228605964288.0000
2020-02-14,3954.2340,4001.5620,3954.0230,3987.7340,14323980288,222895075328.0000
2020-02-17,3999.6510,4077.4460,3999.6510,4077.4240,18277896960,273067819008.0000
2020-02-18,4069.8310,4076.3880,4027.7850,4057.5100,16323621888,242552516608.0000
2020-02-19,4049.5860,4085.1700,4042.8450,4051.3100,16904644096,257554534400.0000
2020-02-20,4062.8960,4148.5280,4055.8100,4144.6560,21223262464,310835589120.0000
2020-02-21,4134.8740,4184.4370,4130.1670,4149.4900,21721360384,326564003840.0000
2020-02-24,4131.8360,4149.0100,4097.1750,4132.8380,21286930432,326387802112.0000
2020-02-25,4066.3020,4126.7070,4020.9070,4123.8540,24416783104,372213719040.0000
2020-02-26,4070.0990,4132.7810,4061.1250,4073.0150,26109406208,366022418432.0000
2020-02-27,4084.0780,4110.5270,4067.4400,4084.8750,18129097984,282050207744.0000
2020-02-28,3988.7270,4031.1450,3928.0660,3940.0480,23027509248,330358906880.0000
2020-03-02,3968.8430,4092.5390,3968.8430,4069.6660,21931355904,317426204672.0000
2020-03-03,4125.1350,4147.6520,4067.9090,4091.3610,21936977664,330802585600.0000
2020-03-04,4078.4990,4115.2610,4060.7290,4115.0520,18242472960,281784864768.0000
2020-03-05,4150.2100,4215.8510,4127.0380,4206.7250,23182311424,362838831104.0000
2020-03-06,4158.2020,4181.3100,4135.3900,4138.5070,17247571712,253168631808.0000
2020-03-09,4063.0760,4063.0760,3995.1313,3997.1325,20810203500,305428730303.8000
2020-03-10,3975.2288,4093.0024,3954.7506,4082.7315,19741640200,296184435851.3000
2020-03-11,4090.9348,4091.2704,4028.3964,4028.4289,16165611100,244990872685.9000
2020-03-12,3976.1139,3987.4336,3926.2704,3950.9111,15706045800,233152848759.1000
2020-03-13,3771.0139,3937.1806,3765.1479,3895.3128,18829672200,280213453213.7000
2020-03-16,3899.8598,3899.8598,3720.5127,3727.8398,18596826000,282836238271.2000
2020-03-17,3739.7833,3786.8908,3618.3070,3709.6822,16624612900,250824025696.9000
2020-03-18,3729.6853,3775.8506,3636.2565,3636.2565,15503754700,244127161535.3000
2020-03-19,3623.7890,3647.9874,3503.1866,3589.0926,18080740700,271827467961.6000
2020-03-20,3629.5126,3663.9517,3588.7766,3653.2239,13960300000,211223073323.1000
2020-03-23,3542.6837,3585.8014,3523.7877,3530.3058,13710879000,197669624970.1000
2020-03-24,3598.6548,3627.7592,3545.4524,3625.1146,14310302100,208553840688.5000
2020-03-25,3711.4753,3732.6536,3685.9942,3722.5181,15349595800,231561518761.2000
2020-03-26,3692.6083,3736.2536,3681.2668,3698.0472,11231066500,169336311861.4000
2020-03-27,3746.3914,3758.7827,3709.9213,3710.0605,12406099500,186103426334.7000
2020-03-30,3657.4624,3690.6388,3637.5853,3674.1108,12687667300,180640799409.3000
2020-03-31,3708.1404,3716.0707,3676.2024,3686.1551,11145302500,161595510008.2000
2020-04-01,3682.2966,3731.7799,3670.9653,3675.0758,11935262000,170422568804.4000
2020-04-02,3656.3225,3734.5306,3652.3167,3734.5306,11516820900,168893255656.6000
2020-04-03,3721.4815,3738.8323,3698.9822,3713.2183,9982508300,150132815028.5000
2020-04-07,3779.9076,3803.6286,3772.2054,3798.0214,14277803000,207642820316.9000
2020-04-08,3776.4171,3793.0023,3767.2924,3780.3445,11138951300,161576772320.2000
2020-04-09,3798.4879,3801.7245,3785.3116,3792.8105,10048503200,154595318812.8000
